,sentences,WS
42,選無腦低能兒才會支持空心菜她是用選舉在逃避現實只會選舉的綠色賤觸綠色賤從元宇宙來看多重宇宙非常沒有存在感的總統三百萬粉絲活人真的有多少只會選舉的綠色母狗八卦版柯粉最愛的中天沒總統很久了，只有情勒人你這次不電死她，下次換她問題是她本人還沒覺醒跟國民黨一起倒吧EE黑金治國根本走李登輝就想知道有多少經費用來買畢竟是死忠的狗報+中天還有3000僵屍死忠,"['選', '無腦', '低能兒', '才', '會', '支持', '空心菜', '她', '是', '用', '選舉', '在', '逃避', '現實', '只', '會', '選舉', '的', '綠色', '賤觸', '綠色', '賤', '從', '元宇宙', '來', '看', '多重', '宇宙', '非常', '沒有', '存在感', '的', '總統', '三百萬', '粉絲', '活人', '真的', '有', '多少', '只', '會', '選舉', '的', '綠色', '母狗', '八卦版', '柯粉', '最愛', '的', '中天', '沒', '總統', '很', '久', '了', '，', '只有', '情勒人', '你', '這', '次', '不', '電死', '她', '，', '下', '次', '換', '她', '問題', '是', '她', '本人', '還', '沒', '覺醒', '跟', '國民黨', '一起', '倒', '吧', 'EE', '黑金', '治國', '根本', '走', '李登輝', '就', '想', '知道', '有', '多少', '經費', '用來', '買', '畢竟', '是', '死忠', '的', '狗', '報', '+', '中天', '還', '有', '3000', '僵屍', '死忠']"
43,不然怎麼會要徵召黑阿你有初選嗎==不是黑道問題，黑道表示欣講的好像他有初選一樣真草是在質疑EE?你也沒初選你怎麼不早說初選崩壞=指派的人很爛=農農你也是被徵召欸哇,"['不然', '怎麼', '會', '要', '徵召', '黑阿', '你', '有', '初選', '嗎', '==', '不是', '黑道', '問題', '，', '黑道', '表示', '欣講', '的', '好像', '他', '有', '初選', '一樣', '真草', '是', '在', '質疑', 'EE', '?', '你', '也', '沒', '初選', '你', '怎麼', '不', '早', '說', '初選', '崩壞', '=', '指派', '的', '人', '很', '爛', '=', '農農', '你', '也', '是', '被', '徵召', '欸', '哇']"
44,都是砲灰他媽的，一個沒有什麼經歷全力支持,"['都', '是', '砲灰', '他媽的', '，', '一', '個', '沒有', '什麼', '經歷', '全力', '支持']"
45,"都智障啊不管哪裡超市超商大賣場，都沒有年輕妹紙找我一起結跟南部仔一樣還有那種買6種物品,要分低能兒特牛逼不是只有好市多，台灣很多五樓被狂甲傳教士樓下比較喜歡怎樣被肛五樓都跟甲甲傳教士內射我他媽看起來像傳教士ㄇ？跟廟裡的年輕人比","['都', '智障', '啊', '不管', '哪裡', '超市', '超商', '大', '賣場', '，', '都', '沒有', '年輕', '妹紙', '找', '我', '一起', '結', '跟', '南部仔', '一樣', '還', '有', '那', '種', '買', '6', '種', '物品', ',', '要', '分', '低能兒', '特', '牛逼', '不是', '只有', '好', '市', '多', '，', '台灣', '很多', '五樓', '被', '狂甲', '傳教士', '樓下', '比較', '喜歡', '怎樣', '被', '肛', '五樓', '都', '跟', '甲甲', '傳教士', '內射', '我', '他媽', '看起來', '像', '傳教士', 'ㄇ', '？', '跟', '廟', '裡', '的', '年輕人', '比']"
46,就是胡說八道架屁啊,"['就', '是', '胡說八道', '架屁', '啊']"
47,不知不覺,['不知不覺']
48,園區只會選舉的母豬大家回家投票下架民進黨六年了,"['園區', '只', '會', '選舉', '的', '母豬', '大家', '回家', '投票', '下架', '民進黨', '六', '年', '了']"
49,馬馬好老哦,"['馬馬', '好', '老', '哦']"
50,可能會得憂支那很多地區會把確診者寵就要變成反美第一線,"['可能', '會', '得', '憂支', '那', '很多', '地區', '會', '把', '確診者', '寵', '就', '要', '變成', '反', '美', '第一線']"
51,有想炒這的柯粉一直以來只會酸宋親民黨的事,"['有', '想', '炒', '這', '的', '柯粉', '一直', '以來', '只', '會', '酸宋', '親民黨', '的', '事']"
52,選前網軍吹到翻,"['選', '前', '網軍', '吹到', '翻']"
53,配方不給就崩潰現在柯文哲又調皮了,"['配方', '不', '給', '就', '崩潰', '現在', '柯文哲', '又', '調皮', '了']"
54,懂？你老闆還是怪人民啊,"['懂', '？', '你', '老闆', '還是', '怪', '人民', '啊']"
55,不是都沒排進去了？真有決要選舉了幹你媽的新竹一堆中狗抓一聽你在屁跟你賭到蔡英文卸呵呵,"['不是', '都', '沒', '排進去', '了', '？', '真', '有', '決要', '選舉', '了', '幹你媽的', '新竹', '一', '堆', '中', '狗', '抓', '一', '聽', '你', '在', '屁', '跟', '你', '賭', '到', '蔡英文', '卸呵呵']"
56,美國轟蘇聯和美國,"['美國', '轟', '蘇聯', '和', '美國']"
57,真難伺不錯有進步了,"['真', '難', '伺', '不錯', '有', '進步', '了']"
58,塔綠斑蟑螂好好的人不當,"['塔綠斑', '蟑螂', '好好', '的', '人', '不當']"
59,讚覺得是在救房市全部開放了,"['讚覺得', '是', '在', '救房市', '全部', '開放', '了']"
60,中央執政成這樣,"['中央', '執政成', '這樣']"
61,講種話都不會心虛到底在公殺小可以不要貼她新聞製造聲量雞排妹也被民進黨吸收了幹你娘只會比爛不要再業配ㄌ這嘴臉不是側翼,"['講', '種', '話', '都', '不會', '心虛', '到底', '在', '公殺', '小', '可以', '不要', '貼', '她', '新聞', '製造', '聲量', '雞排妹', '也', '被', '民進黨', '吸收', '了', '幹你娘', '只', '會', '比', '爛', '不要', '再', '業配', 'ㄌ', '這', '嘴臉', '不是', '側翼']"
62,笑死再選她出來真的就是政苗苗最憨慢，戈巴契夫頭髮看來阿北那邊全力出擊了怎摸ㄌ@@,"['笑死', '再', '選', '她', '出來', '真的', '就', '是', '政苗苗', '最', '憨慢', '，', '戈巴契夫', '頭髮', '看來', '阿北', '那邊', '全力', '出擊', '了', '怎摸', 'ㄌ@@']"
63,反應這麼大幹麻?八卦版復活了幹，真的垃圾，塔綠班這樣垃圾民進黨笑死,"['反應', '這麼', '大', '幹麻', '?', '八卦版', '復活', '了', '幹', '，', '真的', '垃圾', '，', '塔綠班', '這樣', '垃圾', '民進黨', '笑死']"
64,你辭了嗎沒辭的嘴辭職的決心？這整阿鵬你怎麼沒辭,"['你', '辭', '了', '嗎', '沒', '辭', '的', '嘴', '辭職', '的', '決心', '？', '這', '整', '阿鵬', '你', '怎麼', '沒', '辭']"
65,選漂我老婆恭喜下屆議員遷戶口了一堆豬哥票里民服務感謝祭真正的豬哥票,"['選漂', '我', '老婆', '恭喜', '下', '屆', '議員', '遷', '戶口', '了', '一', '堆', '豬哥票', '里民', '服務', '感謝祭', '真正', '的', '豬哥票']"
66,怕被關回去嗎之前講實話後,"['怕', '被', '關回去', '嗎', '之前', '講', '實話', '後']"
67,你又會覺得要能再花掉幾個兆的，我看馬英九真的比較像個走向自ID跟內文反差XDDDD浪吱回頭XDD好人一個，就是人太好才一浪吱回頭,"['你', '又', '會', '覺得', '要', '能', '再', '花掉', '幾', '個', '兆', '的', '，', '我', '看', '馬英九', '真的', '比較', '像', '個', '走向', '自', 'ID', '跟', '內文', '反差', 'XDDDD', '浪吱', '回頭', 'XDD', '好人', '一', '個', '，', '就是', '人', '太好', '才', '一', '浪吱', '回頭']"
68,你他媽才拿古早人的說法來帶什麼風跟現在一樣，慘海盜後代現在洗成這樣算不他這診斷的是台灣人的民族先知,"['你他媽', '才', '拿', '古早人', '的', '說法', '來', '帶', '什麼', '風', '跟', '現在', '一樣', '，', '慘', '海盜', '後代', '現在', '洗成', '這樣', '算', '不', '他', '這', '診斷', '的', '是', '台灣人', '的', '民族', '先知']"
69,公開處刑綠共害怕說是文革共產黨喔綠能你不能看看那選區的人有多智障，綠共不是叫假的這不叫訕笑羞辱什麼才是,"['公開', '處刑', '綠共', '害怕', '說', '是', '文革', '共產黨', '喔', '綠', '能', '你', '不能', '看看', '那', '選區', '的', '人', '有', '多', '智障', '，', '綠共', '不是', '叫', '假', '的', '這', '不', '叫', '訕笑', '羞辱', '什麼', '才', '是']"
70,什麼都能抗中保台！不要問這麼細龍生龍,"['什麼', '都', '能', '抗中', '保台', '！', '不要', '問', '這麼', '細龍', '生龍']"
71,民眾黨只需要留還好有創黨,"['民眾黨', '只', '需要', '留', '還好', '有', '創', '黨']"
72,我之前跟一工程師題材本來就沒有很受不算資產家，台北高薪的大台北外商很多忠言逆耳補血，然後我要看到血流成補血,"['我', '之前', '跟', '一', '工程師', '題材', '本來', '就', '沒有', '很', '受', '不', '算', '資產家', '，', '台北', '高薪', '的', '大台北', '外商', '很多', '忠言', '逆耳', '補血', '，', '然後', '我', '要', '看到', '血流成', '補血']"
73,民主進步黨為了高端的某党有一個阿貝說有疫苗管道，民進黨阿,"['民主進步黨', '為了', '高端', '的', '某', '党', '有', '一', '個', '阿貝', '說', '有', '疫苗', '管道', '，', '民進黨', '阿']"
74,你負責黨格仍在,"['你', '負責', '黨格', '仍', '在']"
75,只是評估至可以吧，二戰美國本土幾乎核彈都是最後丟了，那時日可以,"['只是', '評估', '至', '可以', '吧', '，', '二', '戰', '美國', '本土', '幾乎', '核彈', '都', '是', '最後', '丟', '了', '，', '那', '時日', '可以']"
76,我說病毒直接火化吧病毒的祝福議座要小心身體啊，特別還會打1922嗎？病毒加油好嗎鬆懈的政客好耶,"['我', '說', '病毒', '直接', '火化', '吧', '病毒', '的', '祝福', '議座', '要', '小心', '身體', '啊', '，', '特別', '還', '會', '打', '1922', '嗎', '？', '病毒', '加油', '好', '嗎', '鬆懈', '的', '政客', '好', '耶']"
77,笑你們不敢拆的速度比修棒球場快,"['笑', '你們', '不', '敢', '拆', '的', '速度', '比', '修', '棒球場', '快']"
78,可以找份正常工作垃圾新聞報垃圾側翼總統選戰開打怎麼想柯都不是會這樣要求喔,"['可以', '找', '份', '正常', '工作', '垃圾', '新聞', '報', '垃圾', '側翼', '總統', '選戰', '開打', '怎麼', '想', '柯', '都', '不是', '會', '這樣', '要求', '喔']"
79,死忠到腦陸一特之前好像有聽過此地無銀三百兩這局跟高虹安什麼事XD,"['死忠', '到', '腦陸', '一', '特', '之前', '好像', '有', '聽', '過', '此', '地', '無', '銀', '三百兩', '這', '局', '跟', '高虹安', '什麼', '事', 'XD']"
80,2.0不愧是黑道的好麻吉,"['2.0', '不愧', '是', '黑道', '的', '好', '麻吉']"
81,阿扁說得很中肯啊，是現在阿扁中肯塔綠班現在都是這種貨色太誠實了不是撿到大砲，本身就是大中共同路人講的話中肯阿扁突然恢復正常了耶？還真的超中肯....蔡英文還是阿扁腦袋清楚國民黨學著點，這才是打在扁維拉，卡特球連發阿扁真的還沒傻,"['阿扁', '說', '得', '很', '中肯', '啊', '，', '是', '現在', '阿扁', '中', '肯塔綠班', '現在', '都', '是', '這', '種', '貨色', '太', '誠實', '了', '不是', '撿到', '大砲', '，', '本身', '就', '是', '大中', '共同', '路人', '講', '的', '話', '中', '肯阿扁', '突然', '恢復', '正常', '了', '耶', '？', '還', '真的', '超中肯', '.', '.', '.', '.', '蔡英文', '還是', '阿扁', '腦袋', '清楚', '國民黨', '學', '著', '點', '，', '這', '才', '是', '打', '在', '扁維拉', '，', '卡特球', '連', '發', '阿扁', '真的', '還', '沒', '傻']"
82,能用的人本來就高消失從現在看對他來說似別太高看時力，有能力不會文人相輕,"['能', '用', '的', '人', '本來', '就', '高消失', '從', '現在', '看', '對', '他', '來', '說', '似別', '太', '高看', '時力', '，', '有', '能力', '不會', '文人', '相', '輕']"
83,抄襲還有民進黨可加林：我入黨民進黨表示：你們幹嘛看我花蓮,"['抄襲', '還', '有', '民進黨', '可', '加林', '：', '我', '入黨', '民進黨', '表示', '：', '你們', '幹嘛', '看', '我', '花蓮']"
84,全黨不理一人柯文哲,"['全', '黨', '不理', '一', '人', '柯文哲']"
85,昨天央行就打房是跑不掉的,"['昨天', '央行', '就', '打', '房', '是', '跑', '不', '掉', '的']"
86,這一檔好好看都13姨了啦還在妹.笑死這種抹黑就浪費國家資源,"['這', '一', '檔', '好', '好看', '都', '13', '姨', '了', '啦', '還', '在', '妹', '.', '笑死', '這', '種', '抹黑', '就', '浪費', '國家', '資源']"
87,你連說投降的機會都沒有別懷疑你會比你想的更慘會被叫去被美國打國共內戰不是示範過了：投想想冰雕連不會再投降一次嗎你看看烏東第一批投降的都日本帝國的關東軍有很大比很難說喔，台灣也是有當內中華民國就是台獨,"['你', '連', '說', '投降', '的', '機會', '都', '沒有', '別', '懷疑', '你', '會', '比', '你', '想', '的', '更', '慘會', '被', '叫', '去', '被', '美國', '打國', '共', '內戰', '不是', '示範', '過', '了', '：', '投', '想想', '冰雕', '連', '不會', '再', '投降', '一', '次', '嗎', '你', '看看', '烏東', '第一', '批', '投降', '的', '都', '日本', '帝國', '的', '關東軍', '有', '很', '大', '比', '很', '難說', '喔', '，', '台灣', '也', '是', '有', '當', '內', '中華民國', '就', '是', '台獨']"
88,土建融來了來了，炒房主要團體開建商找綠委說話惹,"['土建融', '來', '了', '來', '了', '，', '炒房', '主要', '團體', '開建商', '找', '綠委', '說話', '惹']"
89,斐陶斐說有人搞定司法現在都報高虹安,"['斐陶斐', '說', '有', '人', '搞定', '司法', '現在', '都', '報', '高虹', '安']"
90,96%我當過四年兵,"['96%', '我', '當', '過', '四', '年', '兵']"
91,中共鵬路人,"['中共', '鵬路人']"
92,推個id,"['推', '個', 'id']"
93,就差一天,"['就', '差', '一', '天']"
94,又要起飛了有政府,"['又', '要', '起飛', '了', '有', '政府']"
95,一直抹Bnt一所以BNT是中國疫苗？側翼口中的中國疫苗,"['一直', '抹', 'Bnt', '一所以', 'BNT', '是', '中國', '疫苗', '？', '側翼', '口', '中', '的', '中國', '疫苗']"
96,不趁他病幹歡迎民進黨的中共同路人參側翼開始攻擊同路人民進黨最後的男子漢必然的結果網軍準備賺大錢打不過就加入,"['不', '趁', '他', '病幹', '歡迎', '民進黨', '的', '中共', '同路', '人參', '側翼', '開始', '攻擊', '同路人', '民進黨', '最後', '的', '男子漢', '必然', '的', '結果', '網軍', '準備', '賺', '大錢', '打不過', '就', '加入']"
97,都資歷都很專業...算中規基層跟專業領域，有什麼嫌有原本副局長轉正的,"['都', '資歷', '都', '很', '專業', '.', '.', '.', '算', '中規', '基層', '跟', '專業', '領域', '，', '有', '什麼', '嫌', '有', '原本', '副局長', '轉正', '的']"
98,台北we,"['台北', 'we']"
99,國旅,['國旅']
100,還在廁所哭都被花完了？？都拿去蓋球場跟國小了一樓在公三小？說一樓是綠的，要不要提升一堆腦殘民智未開的民眾這種也敢用不簡單預算被球場吃光了？...前朝八年遺毒We,"['還', '在', '廁所', '哭', '都', '被', '花完', '了', '？', '？', '都', '拿去', '蓋', '球場', '跟', '國小', '了', '一樓', '在', '公三', '小', '？', '說', '一樓', '是', '綠', '的', '，', '要不要', '提升', '一', '堆', '腦殘', '民智', '未', '開', '的', '民眾', '這', '種', '也', '敢', '用', '不', '簡單', '預算', '被', '球場', '吃光', '了', '？', '.', '.', '.', '前朝', '八', '年', '遺毒', 'We']"
101,時鐘都躲在口水很困擾,"['時鐘', '都', '躲', '在', '口水', '很', '困擾']"
102,人,['人']
103,那我就放心了支持查新竹弊案噁甲繼續弄票越多他是怕失業啦為了利益民x檔會無止境鬥國民黨：謝謝你北新竹人,"['那', '我', '就', '放心', '了', '支持', '查', '新竹', '弊案', '噁甲', '繼續', '弄', '票', '越', '多', '他', '是', '怕', '失業', '啦', '為', '了', '利益', '民', 'x檔', '會', '無止境鬥', '國民黨', '：', '謝謝', '你', '北', '新竹人']"
104,互相指責無良小英政績難怪禁轉約馬上踩煞車了太誇張了當初說上台要做的沒一樣真無良ee炒房進步黨民主？,"['互相', '指責', '無', '良小英', '政績', '難怪', '禁', '轉約', '馬上', '踩', '煞車', '了', '太', '誇張', '了', '當初', '說', '上台', '要', '做', '的', '沒', '一樣', '真', '無', '良', 'ee', '炒', '房進步黨', '民主', '？']"
