,sentence,label
75,只是評估至可以吧，二戰美國本土幾乎核彈都是最後丟了，那時日可以,Non-offensive
76,我說病毒直接火化吧病毒的祝福議座要小心身體啊，特別還會打1922嗎？病毒加油好嗎鬆懈的政客好耶,Non-offensive
77,笑你們不敢拆的速度比修棒球場快,Non-offensive
78,可以找份正常工作垃圾新聞報垃圾側翼總統選戰開打怎麼想柯都不是會這樣要求喔,Non-offensive
79,死忠到腦陸一特之前好像有聽過此地無銀三百兩這局跟高虹安什麼事XD,Non-offensive
80,2.0不愧是黑道的好麻吉,Non-offensive
81,阿扁說得很中肯啊，是現在阿扁中肯塔綠班現在都是這種貨色太誠實了不是撿到大砲，本身就是大中共同路人講的話中肯阿扁突然恢復正常了耶？還真的超中肯....蔡英文還是阿扁腦袋清楚國民黨學著點，這才是打在扁維拉，卡特球連發阿扁真的還沒傻,Non-offensive
82,能用的人本來就高消失從現在看對他來說似別太高看時力，有能力不會文人相輕,Non-offensive
83,抄襲還有民進黨可加林：我入黨民進黨表示：你們幹嘛看我花蓮,Non-offensive
84,全黨不理一人柯文哲,Non-offensive
85,昨天央行就打房是跑不掉的,Non-offensive
86,這一檔好好看都13姨了啦還在妹.笑死這種抹黑就浪費國家資源,Non-offensive
87,你連說投降的機會都沒有別懷疑你會比你想的更慘會被叫去被美國打國共內戰不是示範過了：投想想冰雕連不會再投降一次嗎你看看烏東第一批投降的都日本帝國的關東軍有很大比很難說喔，台灣也是有當內中華民國就是台獨,Non-offensive
88,土建融來了來了，炒房主要團體開建商找綠委說話惹,Non-offensive
89,斐陶斐說有人搞定司法現在都報高虹安,Non-offensive
90,96%我當過四年兵,Non-offensive
91,中共鵬路人,Non-offensive
92,推個id,Non-offensive
93,就差一天,Non-offensive
94,又要起飛了有政府,Non-offensive
95,一直抹Bnt一所以BNT是中國疫苗？側翼口中的中國疫苗,Non-offensive
96,不趁他病幹歡迎民進黨的中共同路人參側翼開始攻擊同路人民進黨最後的男子漢必然的結果網軍準備賺大錢打不過就加入,Non-offensive
97,都資歷都很專業...算中規基層跟專業領域，有什麼嫌有原本副局長轉正的,Non-offensive
98,台北we,Non-offensive
99,國旅,Non-offensive
100,還在廁所哭都被花完了？？都拿去蓋球場跟國小了一樓在公三小？說一樓是綠的，要不要提升一堆腦殘民智未開的民眾這種也敢用不簡單預算被球場吃光了？...前朝八年遺毒We,Non-offensive
101,時鐘都躲在口水很困擾,Non-offensive
102,人,Non-offensive
103,那我就放心了支持查新竹弊案噁甲繼續弄票越多他是怕失業啦為了利益民x檔會無止境鬥國民黨：謝謝你北新竹人,Non-offensive
104,互相指責無良小英政績難怪禁轉約馬上踩煞車了太誇張了當初說上台要做的沒一樣真無良ee炒房進步黨民主？,Non-offensive
105,台北都是提民調也真好笑，餵什麼屎柯文哲醫師上班一天KPI真的，8年前就是因為換人推推北市讓藍綠上跟本爽死垃圾藍綠蟑螂網軍死全家台北大秘寶：情勒就下去啦來看蟑螂噓噓滿意度最低,Non-offensive
106,你居然用我的咒語對滿腦子只想舔共花錢買台灣的藥跟花錢買台捐過去，高價賣？上海封城你去找耶穌啦,Non-offensive
107,台大椰林推bs2,Non-offensive
108,還再嫌不夠操喔,Non-offensive
109,33就穩了,Non-offensive
110,行政院長看起來新竹有大秘寶，不想東輯事廠都60萬交保了,Non-offensive
111,搞不廢物，笑你不敢啦。本來就要告,Non-offensive
112,每次都正面上D反正皇帝2年後必定駕崩，EE不愛,Non-offensive
113,好可憐根本被害妄想症希望她不會再選上了民進黨整天搞批鬥該去看醫生了到底誰在投苗博雅…碰瓷==？原來是紅心共匪阿苗好了啦阿苗,Non-offensive
114,畜看老柯這麼老了還寧願幹盡民進黨這幾年有監督的預算好奇當年KMT被沒收的黨綠色太子黨去海外爽十代+200%是那招，賺爛了不過蓋醫院的話,Non-offensive
115,噓,Non-offensive
116,不扁神思路清晰,Non-offensive
117,好歹讓我提我媽媽的確不會說5408綠畜狗官毫無素質嘻嘻,Non-offensive
118,然後等別馬囧,Non-offensive
119,就一些輪班星人以為錢多就有破麻總統幫忙炒房，房蟲矽谷就是這樣五峰炒到40再叫我政府炒房最大黨,Non-offensive
120,結果法扶天天爆滿整跟9歲女童性交都能判緩刑律師難考?你可以用檢覈啊因為玩文字遊戲很厲害考不上吧,Non-offensive
121,九二共你以為這樣不算政問嗎^_8掌吸,Non-offensive
122,誰管你窮人,Non-offensive
123,最慢下周五10月是不是選完了？資本利得、閉鎖期、第二房民進黨不下台,Non-offensive
124,人家開繼續抱著這種心態,Non-offensive
125,滑坡要小有你有屁關係綠共講別人威權知道為啥台中人要踢掉了吧維護威權？你要不要叫DP還要想飛彈飛過上空都不講到底有沒有在選舉啊厲害了,Non-offensive
126,是誰聽支那鳥,Non-offensive
127,只蔣介石殺了1021萬人，那也要他們夠團結夠聰明,Non-offensive
128,推,Non-offensive
129,高喬王的邪不勝正果然很中肯給我把學店仔跟大麻爹抓去邪不勝正讚啦！終於有一縣市不是藍太好啦～～～讚喔,Non-offensive
130,法20f那個又是熱心民眾了名言：藍綠都是垃圾這是塔綠斑最後拼業績的時19說最快，證據在哪？笑想早日給市長一個清白吧60w>>12e+16e檢察官可以夜間訊問DPP的人本來就不能用,Non-offensive
131,=那學生他爸如果深藍，就真史書華付裁判費與律師費給請律師就笨了,Non-offensive
132,繼續敗票嘿所以眼紅了？我是不信,Non-offensive
133,賺方便炒地皮,Non-offensive
134,綠能這麼會講別人自己這他的工作吧嘻嘻欸阿苗不是有七個助理很能應該去看精神科準備病摘了Ptt帳號-14%公務員跟普通鄉民比上抓出來啊哈哈哈哈公務員被監督合情公務人員？苗博雅別裝死啊，快抓出來這可能就是他的工作內容，bryant780417綠能,Non-offensive
135,柯屁操縱媒體哇靠是真笑欸,Non-offensive
136,好爽要他人幫忙,Non-offensive
137,只能本名是,Non-offensive
138,英系網農農不靠黨也能選贏,Non-offensive
139,來互相傷害啊伊朗：台灣也可以獨立喔台灣被拿來當棍子,Non-offensive
140,懂?她能你不能,Non-offensive
141,被關,Non-offensive
142,幾百個建案幾市區房價跟台中差不多早就飛到不知道哪了對啦,Non-offensive
143,最好暖自由怎麼報這個？迴力鏢ㄎㄎ,Non-offensive
144,還能開節目,Non-offensive
145,希望更多交流,Non-offensive
146,96%還不是在那叫什麼，要比大聲黨不綠能,Non-offensive
147,還怕人知道,Non-offensive
148,打爆不男不哈哈哈,Non-offensive
149,盡顯蘇光頭跟白賊吳敦義誰比較綠能你不能在那叫什麼！！藐視國會民進黨的民主素養笑死人原始人水準好大,Non-offensive
150,防衛台灣金孫還能等嗎...？挖喔,Non-offensive
151,民進黨放你也是認為小看討厭民進黨？半斤八兩自介笑死嘔嘔嘔嘔嘔房蟲一個，你來台北，只會票選全台最噁心的人的話我DPP史上最爛人選還敢笑自介不害羞看DPP推馬桶中，就知道幹話真多張口就是滿嘴謊言也不簡單擋疫苗仔就是人選爛啦,Non-offensive
152,馬哪裡不好了我是看開了，反正沒有下一33在師傅旁邊跟了這麼久阿扁是靠分裂上的，台北人只會投一種顏色的人真可悲33就是個騎牆派新一代就是靠時間影響身邊蔣萬安真的有馬英九第二的台北老人看臉選女婿,Non-offensive
153,你還是回去唱歌吧證據拿出來,Non-offensive
154,才不是要幫你們說話呢你現在就在台灣最大詐騙集照這邏輯,Non-offensive
155,告死他，讓他去監獄通屁眼整天造謠潑糞，幹！綠共死支持提告,Offensive
156,科學用舉手表決.那你公開保護數據，幹騙神仔的話,Non-offensive
157,?罪犯言論自由?,Non-offensive
158,別橋頭新市鎮那個鳥地方賣到怎麼可能高雄沒有輸炒一炒就暖了台灣真的活該以前南部雖然薪水比較低,Non-offensive
159,心檢討還不下台,Non-offensive
160,說實話整組換掉吧阿扁根本海電空心菜～下台拉,Non-offensive
161,侯友宜至少行政院長競爭激烈好像很激同額競選阿16樓笑死NNB能一起跟龍哥去中央去年確診人數，新北塔綠斑捫心自問一下ㄏdpp沒有大咖想出來選不暖市放大格,Non-offensive
162,89守法開車還要遭發大財的方法都寫在刑法裡4,Non-offensive
163,其中一個是垃雙標党日常只要能吵贏,Non-offensive
164,你的問題比較大黨的行政院長同意專家會議指揮官已經高票當選台北市認知問題，國家就是黨，指是你的問題,Non-offensive
165,你要二分那我親中好了啦，跟中國做生意的政不是該問你想要紅色的共產中國鵬：那就是全面下架DPP沒其親中是民進黨吧選舉只剩這一招了嗎,Non-offensive
166,你他民進黨一堆官員真的太傲慢E法行政綠色豬隊友太多.....薛>司法院dpp現在的官員真的都在選後跟光頭一起下台，舔好日本韓國可以，我們台灣不姓薛的繼續講，期待你繼續呃...我猜應該是從UP好險有部長，穩了塔綠斑真的都剩講幹話不臉大法官自己人,Non-offensive
167,我以為是無名主播想不選前為何不敢砲之前不罵？助紂為虐三本柱走後就沒什麼在看這早說,Non-offensive
168,先處理執政的黑道有綠圾是黑道的垃圾呵呵,Non-offensive
169,2024繼一般台清交成畢業會想去資某立委弟弟帶罪升官捧黑又污辱專業真千杯在囂張也只剩兩年了原來是洪逸老師喔！？幫Q整天造謠不用錢這很中國阿,Non-offensive
170,手機統計很多都是選賢與能就好啦最少努力過不用懷疑啊,Non-offensive
171,德軍有利益有弊案光頭,Non-offensive
172,我就對放任公務員上班上PTT，抓蔡EE上去喊她是中國人可是長得很好笑啊柯文哲居然底下養布萊恩,Non-offensive
173,新竹~民進黨小心迴力鏢喔還在崩，已經選完了開始car了現在說罷免根本腦袋有洞側翼真煩繼續敗票,Non-offensive
174,錢存多了,Non-offensive
175,檢討慈禧太后的歷史告訴我們台翻譯：不要檢討英系那就沒問題了阿就是你蔡英文和英系罪魁禍看來DPP離不開黑道，不不敢承認英系都是黑道怕檢討到後面源頭在蔡英文ptt一堆夠檢討了吧？,Non-offensive
176,完全沒做事,Non-offensive
177,叫你親愛的習主席普丁只多習1歲而已你住哪裡？可以先丟到你住可以不要丟台中嗎,Non-offensive
178,兒子裝中立綠能你不能非凡標準就是無恥說謊,Offensive
179,貪污犯都可以掃街,Non-offensive
180,"應該想軍武板男神不要深綠的票了嗎這種空降的講空話,愛睏色違clock真的草包…藍色爛沒有錯，不分立場來說，推這個不要不錯啊",Non-offensive
181,慈濟,Non-offensive
182,再看看園區,Non-offensive
183,我們不需要聽80歲老人說#非帆不投！！！許信良,Non-offensive
184,"說話聽聽就好以下貼圖。(那些理想話,我只是從無能跟低能選一個說的好",Non-offensive
185,我就扛28年前誰執政的冷血母豬不意外抬走！抬走！我們緬懷他!?「火速架離」不是喔,Non-offensive
186,田歸農,Non-offensive
187,一群人幹何志偉EE好像沒她的事一樣哈哈公幹何志偉,Offensive
188,凸廢物指揮官，只會出一張嘴報數功能能比的上你每日冷漠報數嗎阿中也是阿,Non-offensive
189,但不是班班有沒操場蓋成皇宮也沒用,Non-offensive
190,不就你們還在喬支持我們一起支持政府政策你們都說8年都沒進步，是柯文哲被國民黨講成這樣，社宅的建造成本就是靠租金只為黑而黑,Non-offensive
191,"在那叫什麼""",Offensive
192,被大聯盟打臉所以中華職棒聯盟之前都在顧問能不能也去小巨蛋看看所以到底是不是弊案塔綠班氣哭在廁所,Non-offensive
193,不是說比貪污更可怕的是黑金，結重點在有無違法台灣可悲之處,Non-offensive
194,他憑什4插有料算售後服務嗎,Non-offensive
195,就是放毒又不準普篩，塔綠斑是萬華空降病毒,Non-offensive
196,參選花蓮的可以改加入民進黨,Non-offensive
197,劣化最多的就是你柯耶穌阿北快點託夢給陳建仁感覺中央應該是被騙過,Non-offensive
198,反就看,Non-offensive
199,天下無敵西方現在才知道他要當皇帝居然還沒到底,Non-offensive
200,這種文還不推爆,Non-offensive
201,算什麼言論以前的言論自由是互相包容馬德雷瑟中共同路人吃燒烤慶祝笑死,Non-offensive
202,看起來就是量就是有人看不懂何謂流標一次簽25年,Non-offensive
203,八卦到底怎這樣有贊助公司尾牙的我可割掉就好柯粉快上新竹12億球場新竹地檢署捐助獎學金根本不算賄選，黑道治國獎學金欸，學生又沒投票權四趴：一萬二不算賄選啦竟敢賄賂1萬2獎學金,Non-offensive
204,繼續,Non-offensive
205,三樓嘴有夠臭XDDD三樓很哭被摳阿罵的笑死XDDDD都是文組廢物行政院、民進黨中央更多迫柯文哲做這麼爛,Non-offensive
206,人開始比黑知道怎麼不整治,Non-offensive
207,好好笑賴清德沒救了，只配給蔡英賴還蠻聰明的,Non-offensive
208,供三小剛饒河夜市停電囉嘻嘻夠無恥執政黨批在野的能源政策，你家的風車有在轉嗎執政黨是哪陀屎嘴砲民進黨最貧瘠用綠電無虞綠能,Non-offensive
209,垃圾炒房黨越看越失望，唉！死忠的表示開心國昌開心，大聲呼籲支持小打房有愈打愈高的道理?投票就知道了,Non-offensive
210,趕緊拿寫字加油好嗎綠共繼續敗票！送啦！小學生班費也在查,Non-offensive
211,you,Non-offensive
212,蠻特記得阿中人氣也很旺市場人本來就很多吹成靠黑韓粉沒有輸穩了他帥？廖科溢都比他帥真的帥！沒話說，比蔣萬安周末菜市場就是這樣,Non-offensive
213,在中北部轉彎偷臭,Non-offensive
214,0每個小瑕疵看起來都很細微過高屏溪都殺人無罪了,Non-offensive
215,根本穩的,Non-offensive
216,啦這標題很賤崩潰跳針囉,Offensive
217,深綠馬迷可不能2014年左右綠蛆瘋狂揶馬前總統度量根本台灣第一深綠馬粉不能接受啦我以前都覺得馬冏心眼很小某方面來說，馬真的大度反觀,Non-offensive
218,而，根本不笑死,Non-offensive
219,當然可以,Non-offensive
220,貪污就只是超看推文真的一堆別人也再闖雙標？吸大麻的,Non-offensive
221,慣性說謊吃屎吧,Offensive
222,不要舔笑死,Non-offensive
223,要確診有難科腥沒用,Non-offensive
224,這個為了選舉，做一個切割黑道反正老百姓也搞不清就搪塞修這不好嗎現在是在恐嚇?我被性騷擾了恐嚇都出現了這不是恐嚇什麼才是我被性騷擾了幹他媽這不叫恐嚇哦？民進機掰郎跟雞頭很熟喔名下無資產不怕告雞排妹排黑,Non-offensive
225,他字案該查就查，不過這回公文可上任前看能不能搞定,Non-offensive
226,慈濟，幹~打球囉～上人是對出家人的尊稱中共同路,Offensive
227,看綠高雄三民區路燈-1阿扁觀念好清楚,Offensive
228,要求全綠衛兵搞思想審查跟共產黨言論自由感覺在倒退垃圾DPP奇怪耶！之前八卦在肉搜別文革的話，各位4%還能在一邊笑中國，一邊幹同樣髒固定幾個塔綠斑在噓,Non-offensive
229,馬宗痛男子漢大推,Non-offensive
230,別哭還在偷換概念,Non-offensive
231,八卦太議員監督一下市政就趕快出快選舉了，趕快出來說我們蟑螂又來了感謝苗議員，讓我上網找了你罵半天但苗才是掌握選票完全未反而反的白癡議員,Non-offensive
232,然後在市集,Non-offensive
233,會斷開麥拉白日夢冒險王吧西斯版必須捧恐怖蠟像館侏儸紀公園吧海生館夜驚魂要找到另一半復活石板鐵達尼號吧我知道，這是最近很紅的魷Dumb,Non-offensive
234,別強迫千金老很好了拉,Non-offensive
235,那kmt的尿性感KMT如果這麼會想,Non-offensive
236,最大戰犯沒能力,Non-offensive
237,繼續死忠的,Offensive
238,自己沒後代,Non-offensive
239,還加蛋要加15元,Non-offensive
240,笑死,Offensive
241,反觀贏定了..33時鐘都沒救皇孫登基,Non-offensive
242,是不是在說那個最愛負責的林不認識笑死蔡導要不要出來說個話又一個民進黨可割可棄的故吱導吱演幾隻貓直播也不認識,Non-offensive
243,你再撐快下台啦阿龍要放哪光頭：敢不慰留我？兩隻狗演三小戲,Non-offensive
244,妹子比南部多一點叫台灣的長安人好了，呵呵到底優越感哪來的，家裡好南部支持民進黨的都智障,Non-offensive
245,不是老柯選,Non-offensive
246,呵呸，戀棧權位就說啊有種一點好嗎先承諾選輸不要入閣好不好哈哈，萬安上當了啦雙標黨不意外阿~~果然是民進黨什麼選舉策略,Non-offensive
247,繼續,Non-offensive
248,苗博雅下屆不幹些討人厭的事就會不舒可憐,Non-offensive
249,要改選新北嗎苗丁格不就接替佛地魔的人瘋狗佛地魔被罷了,Non-offensive
250,就好比201有人在臭嗎但死忠的還是會投暖男改變中國黨的最好方式就是可惜高雄被KMT搞爛了，這些以前都藍的欸笑死☺高雄暖民不需要好的問題不是選前，是選後都還很少看到國民黨頭腦清楚的八卦版LIKE,Non-offensive
251,房東標準政客專開芭樂票笑笑，87%9月進立院然還在演，要過的話還需要等完了完了，房價又要漲了放屁最快,Non-offensive
252,有供三小,Non-offensive
253,笑死牆頭草可憐拜託不要下架,Offensive
254,好誇張民進黨就黑幫選前弄一定軒然大波,Non-offensive
255,甲級戰犯岸信介去查一虎式坦克紙老虎斯圖卡戰機...台灣人是亞利安種族會萬人響應無人參戰拉去斃掉被波蘭併吞坦克自翻,Non-offensive
256,有種報出來你闖紅燈就直接遊街示眾嗎綠能你不能只要批民進黨都是網軍？幹那就是薪水小偷啊真的不知道，請教一下，議薪水小偷的部分難道沒懲處公務員上班發PTT天打雷幹，現在這時間在這邊回文噁心議員議員上班不是還可以看愛奇薪水小偷需要把po文唸出所以你是公務員嗎？你要有黨證啊罵民進黨可能就是喔民意代表根本就全台最大薪那整天塔綠班呢？所以這個律師沒考上的有照苗上是北市民的福氣,Non-offensive
257,蠻自戀的港覺那個問答，真的草包濃濃需要的是EE牌讀稿機完蛋了,Non-offensive
258,贏了！我們在這世界有多麼比起民進黨都酬庸,Non-offensive
259,先回去坐牢吧這麼廢的官還在戀棧真他媽阿扁還有底線在，現在的D沒錯我也覺得他要下台中共同路扁早就該下台把問題解決再走,Non-offensive
260,貼牌舒服啦,Non-offensive
261,啊不是說第三勢力成garbage,Non-offensive
262,are,Non-offensive
263,找了又說格岑岑岑岑好廢,Non-offensive
264,很會DPP只要能勸說離職助理塔綠班洗起來還沒找到大秘寶先倒在偉大撕髮迫害(舉手)垃圾司法,Non-offensive
265,馬到後期為了打王大是大非又貪污又無能表示哈哈台灣也有央視呀！妮喚醒哥的記憶餒，這樣看以前不知道無能還能突破下好壞都是被比較出來的,Non-offensive
266,巴比Q了八卦版突然又挺貪污理工女選上了不想讓他就職？真的我比較想知道大秘寶高唱塔綠班，選上竹市長，八卦戰三立想轉移什麼呢,Non-offensive
267,活就不用了噓屁啦,Non-offensive
268,在那叫什麼阿館的弱點是漂亮的女人,Non-offensive
269,柯建銘在維基上民退黨蔡英文,Non-offensive
270,我就是要大罵特罵辣雞鵬,Non-offensive
271,說得附和民進黨又不是民進黨，XD的確很多人不爽小黨互邱王請加入民進黨不要害時高可以打,Non-offensive
272,賴神有反對高端嗎,Non-offensive
273,別689屎蛆持續無視推菸害捐哼推阿扁雖然有點偏,Non-offensive
274,這人很神奇，除了外型，阿黑道小弟給推又是英犬黑道支持的農農,Non-offensive
275,也是說KMT黃復興還有能量嗎？KMT老人都不會讓給侯出沒人討論王金平？！為什麼如果24侯不選禮讓柯,Non-offensive
276,民進黨假新聞啦安居樂業哪有人去貴古賤今狗昌沒出來咆哮跟黑道掛勾，販賣台灣年輕垃圾民進黨八卦版沈淪到連馬皇都捧，民進黨爛到讓人懷念馬英九到現在還護航的才是有病真的是史上最爛的總統跟執挖賽,Non-offensive
277,就這麼簡負面新聞？,Non-offensive
278,2024人民欠民進黨一個道歉對不厚顏無恥繼續講，2024年前都不你吃屎我就考慮一下,Non-offensive
279,ㄏㄏ日本大難道要投給假獨立真謀財害喔喔,Non-offensive
280,對吧,Non-offensive
281,恐怖情人膩好的下架垃x塔綠班真的，補死你知道了，可以下台了炒房，囤房，為了政治利益笑死,Non-offensive
282,甚至連任時還3,Non-offensive
283,哈哈哈月票120中央不卡就過囉內政部：嘻嘻，等著瞧那就來看消檢要怎麼過，ㄏ變你的政績了藍綠聯手，馬上就過到了2028,Non-offensive
284,繼續摧殘台灣深刻檢討多久惹連提問都跑沒事啦,Non-offensive
