label,,sentence,label
Non-offensive,35,解封就萬事解了他那篇文章就是1450起一年前就唬爛要開邊境,Non-offensive
Non-offensive,36,支持派系民進黨的網軍水準江河日下哇靠,Non-offensive
Non-offensive,37,超級星星病毒加油，加油病毒加油病毒請祝福全開怎麼不得猴痘,Non-offensive
Non-offensive,38,讓沒當過兵的女人執政就是馬英九就是屌馬最大的錯就是沒把這些覺馬英九,Non-offensive
Non-offensive,39,放哪篇vt嘔嘔知道網軍大餅多香了吧有錢你太粗暴ㄌ我肛肛聊天的妹最近才去日恐慌仔：不然老人小孩死光可以不要這麼中肯嗎我每天都在也不會想出門玩你在說大陸嗎會怕的自己防疫就好，幹嘛民眾都很支持隔離政策，你確診爆量再來說政府放毒?一年前就唬爛要開邊境,Non-offensive
Non-offensive,40,讚讚讚全部拿去做雞精保不住，不會保。權貴會先抓去集中營保護起來,Non-offensive
Non-offensive,41,QQ大勝是民進黨爛跟朱有啥關現在就發起霸免蔡英文啦！又開始了，捧殺敢落跑得都不投朱立倫配個柯或郭就躺贏了韓導出來會造成藍綠對決，提名後看民調才準吧，這些覺得,Non-offensive
Non-offensive,42,戰機過中線,Non-offensive
Non-offensive,43,那菜就是無撐是什麼？馬囧也不遑多讓,Non-offensive
Non-offensive,44,這很OK反正可以，這很符合綠能你不能正確解答，可以領500了自助餐意外嗎下禮拜一去議會報到上班人家是女生，吃個自助餐怎明天上班滾動式調整。明天來上班還明天勒,Non-offensive
Non-offensive,45,大家選前都不敢講,Non-offensive
Non-offensive,46,農婦包工程25年，就賺飽了4,Non-offensive
Non-offensive,47,都資歷都很專業...算中規基層跟專業領域，有什麼嫌有原本副局長轉正的,Non-offensive
Non-offensive,48,加油!繼續敗票卓垃圾這名字適合你党又再助選了dpp果然很怕...XD徐國勇的&老婆是做什？讀總統選戰潑髒水,Non-offensive
Non-offensive,49,可以人家都要退了還排鐵人行程省得錢還不是給別人花,Non-offensive
Non-offensive,50,還敢講結論就是中介法要上了，別總統不得兼任黨主席~顆顆草包果然是草包這批人,Non-offensive
Non-offensive,51,5555客套話聽聽就好,Non-offensive
Non-offensive,52,我常跟行家說,Non-offensive
Non-offensive,53,塔綠班阿扁：怕.jpg怕.jpg小本本沒用了嘛？又沒說錯，道什麼歉是不是要被抓回去了阿XD綠色水平怕被關回去喔一代戰神被嚇成這樣,Non-offensive
Non-offensive,54,演好演滿現在Dpp印象就黑道,Non-offensive
Non-offensive,55,應該就被噓爆柯文哲回國宣布也參選投她跟投廢票沒什麼兩樣蒂蕾喵：哭哭同個選區有什麼烙跑問題嗎側翼很急喔馬上砲打王還沒就職就落跑xd這麼快國民黨開始大頭了嗎光速烙跑,Non-offensive
Non-offensive,56,=阿不是根據前文可知悉連結其實看文章脈絡是可以判定換個法官認定就不見得一樣專業罵人喔就跟中國賤畜一樣可是判決書也有人被判有罪就跟五毛賤畜一樣啊台中,Non-offensive
Non-offensive,57,=,Non-offensive
Non-offensive,58,不是中分開始造勢了好,Non-offensive
Non-offensive,59,時要不是黃根本不會給時力政國昌其實還是小綠啦但還是因為黃國昌把政黨票給時力講3%高估時力了,Non-offensive
Non-offensive,60,日本：我們連軍事基地旁邊看來建商不怕賣不出去,Non-offensive
Non-offensive,61,這是台灣最美ey交通不易當地人到哪丟垃圾丟焚化爐很貴的我就問司馬庫斯有垃圾車清台灣人就這種水準啊,Non-offensive
Non-offensive,62,用發回更審還是同一法官，笑有論文就直接拿出來公開內看來的確是假的了博士論文不是要發表才能畢連林智堅都拿得出論文了,Non-offensive
Non-offensive,63,7414坦克該出動了吧現在換哪邊要來撐?我們懷念他我們懷念他們希望這些人一切平安，阿彌這些喊ㄉ4至支外國人ㄅ好喔,Non-offensive
Non-offensive,64,問題是射這不是早知道了嗎？現在這群是強盜817萬票有惡鄰居真香,Non-offensive
Non-offensive,65,怎麼有人護航造謠，國庫全官員上億不查，檢察官這般鏡週刊變成媒體界的基進黨國家機器動起來又是三立好了啦...每次都報說在還在崩潰好了啦,Non-offensive
Non-offensive,66,還抗中沒稿是要,Non-offensive
Non-offensive,67,我不敢中國覺青,Non-offensive
Non-offensive,68,還真的沒先問喔黑色恐怖......綠色哈哈哈,Non-offensive
Non-offensive,69,媒我還以為總統是馬英九塔綠班就是一群敗類呵呵,Non-offensive
Non-offensive,70,盡顯蘇光頭跟白賊吳敦義誰比較綠能你不能在那叫什麼！！藐視國會民進黨的民主素養笑死人原始人水準好大,Non-offensive
Non-offensive,71,女T天天在那邊北一台大法,Non-offensive
Non-offensive,72,工程分三期,Non-offensive
Non-offensive,73,還不下台有夠不很好啊！光頭不退，她女兒王O宇三小的都先踢掉再說是在大聲什麼本來就大聲，蘇算穩的反正綠營沒人有力說話太誠實了吧，方丈為人光頭OS林背輸得比黑龍少堅哥我大哥大聲不等於口才堅哥才是真的我認識的民進政客跟政治家的區別耍無賴院長王講這個感覺不太適當,Non-offensive
Non-offensive,74,台灣人絕大部分只跟現在比的話的確值得懷念最近媒體常放嗆香港記者突可以問問中國鵬，跟中國中我比較想緬懷你欸，習沒路？？？？？？？？？抱歉我外國歷史爛，只知道中國每年12/06江澤民問中國鵬跟克拉克啦彼此彼此..就像你家覺得去問大陸棚就算懷念江,Non-offensive
Non-offensive,75,心有戚戚焉想投給她，可惜不在台北T這篇推爆吧！推倒藍綠！台北市民不能自白色巨塔ptt反指標好了啦,Non-offensive
Non-offensive,76,騙人民演一下2018好像也說差不多的請把種樹百里做好再走繼續反質詢,Non-offensive
Non-offensive,77,現正常，立委幫忙的怎麼不正立委安排地方賢達進去探望關起來跟去度假差不多反觀邱和小綠燈到底在幹嘛88槍表示???幫忙選民服務問那麼多次到底是那一家的飽和會怎麼加,Non-offensive
Non-offensive,78,只有低能才這麼了現在是阿，以前還有點腦滿合理DER講的對阿他說什麼很重要嗎？說真的，d卡真的有高中生家裡蹲柯畜悲憤八卦是買不到房子的單身低這咖洨有臉評價別人?再不完全正確吸毒嫌人？事實,Non-offensive
Non-offensive,79,怕沒錢？台大校長要知所進退如果沒有申請，那能不能兼看來大家都擔心他沒錢，怎他台大可以直接辦退休到底是多崩潰，還躲在推文好奇問,Non-offensive
Non-offensive,80,反阿扁貪好，那我們再給半年串供好大佬認證的黑菇黨不就想仿照高雄,Non-offensive
Non-offensive,81,在那邊中肯事實推沒選舉,Non-offensive
Non-offensive,82,你現在已經是詐兩個人趕快結婚堂堂幹部怎麼可能去當車手想當首腦塔綠斑白粉：你才詐騙集團XDD,Non-offensive
Non-offensive,83,了不敢快弄下來大秘寶要被找NCC又再裝死了找安土城垃圾党媒別在偵查不公開了，是檢調NCC管不到多怕被挖秘寶土城找安黨媒一直放話塔綠班：新竹還在選鏡週刊就民進党英系的,Non-offensive
Non-offensive,84,選舉完就要解放再騙啊...好怕,Non-offensive
Non-offensive,85,等等被白憐教高虹安沒國民黨棄保選得上推原po我一直蠻懷疑棄保說的真實民眾黨2019才成立,Non-offensive
Non-offensive,86,畜看老柯這麼老了還寧願幹盡民進黨這幾年有監督的預算好奇當年KMT被沒收的黨綠色太子黨去海外爽十代+200%是那招，賺爛了不過蓋醫院的話,Non-offensive
Non-offensive,87,然後一堆智障看又不是正副總統醫療團隊，無限期支持未來每個月都要黨推出來的就算是食鹽水，我還真的不相信總統會打高打啥有差嗎？其它3劑能解只是砲轟中央的功能高端六個月過去了三期還沒有100%的台灣民主價值比沒打的好了菸粉好氣喔www嘴真臭，沒講話不會有人當白癡才打高端,Non-offensive
Non-offensive,88,2024全部下來轉到黑幫當顧問？看到他的嘴臉就生氣,Non-offensive
Non-offensive,89,然打假球的啦，等著看黃偉哲有傷害罪前科，台南黑錢怎麼辦?,Non-offensive
Non-offensive,90,助理很忙啦,Non-offensive
Non-offensive,91,感覺他跟第一次你相信台北人的智慧？笑死，萬安都可以當市長了民進黨也沒別人了，沒看到重點是都爛成這樣還有一堆其實就是草包而已，你想太你確定是被強徵？本來就選不上，怎麼表現都郭正亮有說上次跟蔣一起選有差嗎,Non-offensive
Non-offensive,92,無法裝成白丁守中能拿多少票，蔣萬安蔣總統,Non-offensive
Non-offensive,93,不用查神都騙，誰理你！神都騙了,Non-offensive
Non-offensive,94,徐,Non-offensive
Non-offensive,95,結不爽不要做,Non-offensive
Non-offensive,96,一是黃綠名嘴管好自己吧，你主人第三勢力能不能合，還是被這兩個個性不合吧如果理念相近,Non-offensive
Non-offensive,97,是誰養的？！掩內鬥開始良心話為啥不能公開聊快走吧,Non-offensive
Non-offensive,98,台灣可撥笑死,Non-offensive
Non-offensive,99,除了習主席我們誰KMT本來就沒再忌諱這個蔡菸文吃屎,Non-offensive
Non-offensive,100,不殺幾個解放低能塔綠斑不是叫假的八卦還用抹？,Non-offensive
Non-offensive,101,SOD輸了吧這叫智障？八卦魯肥宅不就這搞不好真的騙醫生拿到證這也信喔！不騙妳騙誰智障在騙人？信的是智障騙人的也是智障可能是類似鄧加滑這種看起智障的是女的吧，幹真的智智障有妻子還能騙人性侵,Non-offensive
Non-offensive,102,而在敗票大隊賴是反串吧誇張==噗,Non-offensive
Non-offensive,103,故意的吧蔡英文整天只會浪費國家資中職史上最強會長翻譯：不投蔡其昌,Non-offensive
Non-offensive,104,可以吃官員直接包庇掮客,Non-offensive
Non-offensive,105,炒一因為有需求才好炒作啊,Non-offensive
Non-offensive,106,何志偉幫開脫了，事實上就是你們把台北選的現在知道背刺的感覺，當年何志偉要脫黨了嗎原來是挺賴的喔?何志偉會可悲，這種政黨是台灣最大選完了該網內互打囉,Non-offensive
Non-offensive,107,都其實，霸王別姬早就預演過ee表示...經濟學人最近有一整個系列台灣當初也以為把國民黨換派系妥協的人選，但胡錦濤滿像朱元璋那種流氓風格從小鬥到大，能出線的一定就,Non-offensive
Non-offensive,108,垃圾中害33沒上33等四年一定上，打敗不疼惜33，謝謝33加油,Non-offensive
Non-offensive,109,同路人蔡其昌你中職會長還是繼續居然對台中有信心，難怪中大媽感謝肯定捧台中？？？？？？？？？484在臭誰XDD蔡其昌表示：不是阿,Non-offensive
Non-offensive,110,但在以四川表示：什麼時候輪到我神豬表示羨慕陣容是不錯正常沒奇怪的人就好李,Non-offensive
Non-offensive,111,那次不是你要被水桶了所以說,Non-offensive
Non-offensive,112,變成國與國的戰爭後來roc交到了一個辣台HK咧？被8+9拐走後滿哪個是老爹賭輸被送養的小跟對岸的種種政治鬥爭相比這樣講法國開局不久在掛機如果共匪沒有起義，中華民不是1也是2，資源人口都蔣中正無能又拉不下臉中國自古就是騙農民得大位因為閩南人居多中華民國就跟台積電裡面掃中共用錯誤路線戰勝阿你以因為蔣光頭沒有把共產黨趕被共匪背刺啊,Non-offensive
Non-offensive,113,都有問題好本來就是,Non-offensive
Non-offensive,114,抄作業給推XD找33好嗎！,Non-offensive
Non-offensive,115,努力監督連心理學都不懂的還想跟人跟四叉同台結果還不知道問我有投你,Non-offensive
Non-offensive,116,現在在那邊7788的，等改天一個落選數那麼多票的不知假博士,Non-offensive
Non-offensive,117,愧對新竹人民…上一屆新竹市長是柯文哲?噓~~~~~~~~~~~低能兒居然說台大教授,Non-offensive
Non-offensive,118,違停之父回歸叢林法則,Non-offensive
Non-offensive,119,你又會覺得要能再花掉幾個兆的，我看馬英九真的比較像個走向自ID跟內文反差XDDDD浪吱回頭XDD好人一個，就是人太好才一浪吱回頭,Non-offensive
Non-offensive,120,也有東西測翼開始鎖定攻擊,Non-offensive
Non-offensive,121,整個大翻白眼的回答至少由一個有活力的年輕男先說你是4%還是菸粉?,Non-offensive
Non-offensive,122,可憐啊好啦,Non-offensive
Non-offensive,123,偷酸喔XD某人是總機，這是答錄機。蠻像侯的怎麼每一題的答案都看起來都是幹話而言至少他不用像中規中矩，這樣很好啊XD怎麼都同一招選了一個標準空話政客上來笑了，不就有頭髮的韓導嗎至少不會齁齁齁這傢伙腦袋好像空空的欸？反正市長不是33就好有沒有投完隔兩天就後悔的我還以為跳針是撰文，結果對答如流?,Non-offensive
Non-offensive,124,QQ推33～現在殘酷的現實是投黃33姍姍加油,Non-offensive
Non-offensive,125,自己党的黑金都不談欸黑道治國的政府說要掃除黑藍綠一樣黑全部下架就對了完全執政說要掃除黑金，英掃除黑金政治，翻轉南台灣史上第一位進土城的女總統掃除自己？,Non-offensive
Non-offensive,126,又讓這串浮起來我支持你，車子借人出事為說得有道理,Non-offensive
Non-offensive,127,罪責不改重,Non-offensive
Non-offensive,128,至少也是組長哈哈哈，扶龍王盡量罵，謝笑死,Non-offensive
Non-offensive,129,我是先討全党上下都是死不認錯的爛仇恨值最高的b嘴幹他媽的死妖婆再一個禮拜，選完可以不用1126下架草包中好的，下架陳時鐘送牠當市民啦不要再寄生中華民國了,Non-offensive
Non-offensive,130,"沒有下限賣不賣台感覺是假議題,台臥底有天會當上老大的承認了，so",Non-offensive
Non-offensive,131,黨產會只會查現美援照民進黨邏輯是與美國你看看現在的國民黨就知道國民黨貪光了啊,Non-offensive
Non-offensive,132,這超爛，所以OS一裝好就是不知是哪個廢物設計出來的呃,Non-offensive
Non-offensive,133,跟共產黨有來了來了,Non-offensive
Non-offensive,134,低能一堆就是稀奇才會上新聞因為問題出在低能的不覺得因為低學歷的沒錢讓人家騙這次的疫情也讓一堆低能官跟白畜一樣啊！沒出過社會你開心就好同意。越高越低。因為低學歷的不會被爆,Non-offensive
Non-offensive,135,畢竟線上博弈早在台先開放賭場再說，撲克就是朱凱翔,Non-offensive
Non-offensive,136,台學校認證了？你們民進黨認小智道歉了？民進黨道歉了笑死，小志跟EE有道歉嗎開始抓對手帶風向所以蔡EE什麼時候要道歉民進党已經認證抄襲也沒道9.24%：可惡，國家機笑死人，一堆塔綠班在腦羞我大完便了大便就不要挖掘糞出來臭別抄襲議題已過囉！換題吧是在臭EE嗎大便女力挺抄跑堅，還有資太噁了吧,Non-offensive
Non-offensive,137,都要你講超過時間,Non-offensive
Non-offensive,138,貓貓可愛還沒結束喔,Non-offensive
Non-offensive,139,這篇點市議員%數十幾席而已不是嗎哪來幾十席嗯，不要想一口吃成胖子，好幾十席？15%左右吧,Non-offensive
Non-offensive,140,堅哥坐等督爆公子哥好瑟喔堅哥柯文哲被拋棄了王世堅讚啦蔣公子喔,Non-offensive
Non-offensive,141,責任是不有一點我想講，所謂投票不原來現在的民進黨還沒國民呵呵,Non-offensive
Non-offensive,142,就那不是沒變嗎0.0文革再一次阿抓到了台獨現正年輕人都忘了白色恐怖網路管制,Non-offensive
Non-offensive,143,美爸派人來直接在你面前選舉時間到了，都爬出來了只會講這句米國人阿公這個時間搞選舉，希望他們最擅長撕裂的人喊團結強制打三劑,Non-offensive
Non-offensive,144,會輸;,Non-offensive
Non-offensive,145,看一下現在中央那群幹話少點，快點灑錢政大法律系，哼哼！叫學長白癡嗎,Non-offensive
Non-offensive,146,順應民意還被嘴,Non-offensive
Non-offensive,147,安多誰執政都要聽美國的話啦反對派不是民進黨嗎？地方選舉硬要抬高成抗中保??台北哪時候執政派掌握台灣反對派..要不寫中共好像也不意外,Non-offensive
Non-offensive,148,萬家哭知道怕就好,Non-offensive
Non-offensive,149,沒東西打民進黨再加油，看看會不會所以違反法律問題的點是？代表這是個空缺，他男友另白手套標政府案子給女兒,Non-offensive
Non-offensive,150,解封一天又恢復每日核不愧是清零帝兩岸一家親，中國人真行繼續酸酸偷著樂,Non-offensive
Non-offensive,151,當初不是說萬華賴果然是DPP指名的中共要怪就怪指揮官吧,Non-offensive
Non-offensive,152,不妙林飛帆沒用了啦得替代役九萬,Non-offensive
Non-offensive,153,某候選人要不要至少是女的,Non-offensive
Non-offensive,154,你綠這種進步綠鰤假人權啦,Non-offensive
Non-offensive,155,中科院人員不能去大有掛的樣子,Non-offensive
Non-offensive,156,綠師,Non-offensive
Non-offensive,157,我可以TMD就噁心抄襲黨阿,Non-offensive
Non-offensive,158,阿扁就推，要就是全台一起升好升真的笑死,Non-offensive
Non-offensive,159,兩個XX,Non-offensive
Non-offensive,160,有SOP有E化台北市民陳時中到現場才是E化E你妹工作過就知道、老闆站後面給4樓，台北市民黃33到輔選幹嘛不E化SOP講啥,Non-offensive
Non-offensive,161,結果TMD最像民進黨可以派五十萬木馬去其他人忙退黨？小黨主席是屎缺＋1拍手拍手拍手通過小黨很辛苦,Non-offensive
Non-offensive,162,柯家都是算計很強本市長選到變側翼，真有才可憐邊緣人,Non-offensive
Non-offensive,163,苗~本來想說點什麼,Non-offensive
Non-offensive,164,他好歹大大提高了台灣心臟再幾年就可以退休了記者要探訪是不是要卦急診太平間守門的？質疑柯文哲的醫生經歷真的側翼怕自己用到葉克膜嗎塔綠班氣噗噗,Non-offensive
Non-offensive,165,全家出門被車輾過干你屁事嗎？快下台啦臉皮有夠厚，特支費用上癮?國外關你什麼事??真辛苦又憂國憂民,Non-offensive
Non-offensive,166,但高最好有問題啦棒球場又沒人去檢舉不法，是60萬交保60萬元交保=貪污60萬慶富、遠航、潤寅詐貸幾百議員助理錢跟立委助理入帳問題不在貪多少,Non-offensive
Non-offensive,167,準備投胎就說大氣層不是領空了，我大氣層不算國土隻手遮天，沒看到，在哪裡裝沒看到閉上眼睛還不懂？？先發新聞罵國民黨啊以前還有徵文比賽,Non-offensive
Non-offensive,168,一條龍高市長好可憐，又受虐了嗯嗯~抓到了~鏡週刊怎麼那麼多消息我也有帳本要不要查整天透過媒體業放話...起訴是必然，無罪是之後的聲明偵查不公開原則,Non-offensive
Non-offensive,169,別689屎蛆持續無視推菸害捐哼推阿扁雖然有點偏,Non-offensive
Non-offensive,170,賴醫看死神是不是都請來的臨演，換劇本啦你幹,Non-offensive
Non-offensive,171,奇魔義笑死，民進黨選後檢討說要這次就是給國民黨一個機會來來來都來我大新竹XD很台灣呀那個已經沒用了,Non-offensive
Non-offensive,172,穩定房價,Non-offensive
Non-offensive,173,也是說KMT黃復興還有能量嗎？KMT老人都不會讓給侯出沒人討論王金平？！為什麼如果24侯不選禮讓柯,Non-offensive
Non-offensive,174,XD我看阿扁危中共同路人啦莫名其妙,Non-offensive
Non-offensive,175,辦得快不是證據明確要聊10幾個小時他字案就偵辦技巧，讓關係比例原則,Non-offensive
Non-offensive,176,選上市長啊問徐巧心阿,Non-offensive
Non-offensive,177,一問馬上有QR,Non-offensive
Non-offensive,178,他梗圖很好笑耶,Non-offensive
Non-offensive,179,黑金民進黨看來台南人還是原po小心安全抗中保台的黑道,Non-offensive
Non-offensive,180,反觀蔡英真的很強笑死，別想洗白馬英九有幾個人做的到，何況是高真的老很多了QAQ游泳怎麼有辦法游麼久,Non-offensive
Non-offensive,181,演什麼演猴戲開始沒想到現在幫大眾發聲的立下禮拜五好了啦,Non-offensive
Non-offensive,182,以後不就中國勢必要解封,Non-offensive
Non-offensive,183,苗還錢也能嘴,Non-offensive
Non-offensive,184,為什麼s22輸iphone12要更新系統還應該用就規格我台北人本來還會在意,Non-offensive
Non-offensive,185,變強勢超扯,Non-offensive
Non-offensive,186,好短沖繩那邊有誰在等他?去兩天是要怎麼玩？也要把柯市長真的夠猛晚去早回,Non-offensive
Non-offensive,187,假桃園人別這個姓苗的什麼時候可以滾這下賤畜生的話幹嘛要聽,Non-offensive
Non-offensive,188,你的問題比較大黨的行政院長同意專家會議指揮官已經高票當選台北市認知問題，國家就是黨，指是你的問題,Non-offensive
Non-offensive,189,der錯好可怕的垃圾黨…原因：黑都是別人的錯不夠負面,Non-offensive
Non-offensive,190,現在想挽救討厭DPP,Non-offensive
Non-offensive,191,馬比蔡好太多了,Non-offensive
Non-offensive,192,不意外側翼仔不意外把這死t抓去當兵啦~塔綠還不搭船去軍演區舉牌抗議當初是誰投給他的啊？選民台灣一堆同言同語,Non-offensive
Non-offensive,193,還三民主義統一中國,Non-offensive
Non-offensive,194,真的大可不必X好粗暴,Non-offensive
Non-offensive,195,下架塔綠班47萬個87台北喜迎時中市長了！這很明顯要操作棄珊保安啊敢估到個位數票數，這民調想看1126,Non-offensive
Non-offensive,196,沒加上時力有邱跟王這兩個滅加油民進黨現在的年輕人都可是不敢開放18歲的時力是路線錯誤，跟民眾黨努力少子化，年輕選票沒差啊？困守新竹只剩4%還在年輕人投票率就輸了只能說你想的太理想夢裡什麼都有議員從5個變14個,Non-offensive
Non-offensive,197,日台不好說日本出兵？是幻想喔和美國日本不幫，後面就等著被肛台日友好只要派剩下的3成出兵即可老美要你出兵就出兵真的,Non-offensive
Non-offensive,198,捉的好喔原來才罰3000新聞每12個本收這個一大堆啦,Non-offensive
Non-offensive,199,那濃菜雞互啄?,Non-offensive
Non-offensive,200,your復辟這兩字的用法怪怪的白民進党不死,Non-offensive
Non-offensive,201,支持33又是棄保風向文,Non-offensive
Non-offensive,202,氣沒被肉搜之前你知道他是公還在批鬥沒護航啊，同樣標準幹他媽搞思想審查又不承認,Non-offensive
Non-offensive,203,厠翼假鬼假怪四叉就是塔綠班的縮影，噁很認真講，他能夠有市場就物以類聚，看來時中不是什他不抹民眾黨才是新聞不是塔綠斑最愛民眾黨到底欠他什麼要這樣造謠有夠噁心噁爛甲甲醜8怪都愛作怪樓下四插敗壞甲圈，看ㄧ次想吐ㄧ次他真的令人作噁心地醜陋噁心的貓,Non-offensive
Non-offensive,204,we,Non-offensive
Non-offensive,205,做夢吧,Non-offensive
Non-offensive,206,識大體,Non-offensive
Non-offensive,207,XDD影片拿出來看啊！白癡認同台北是疫情的開始。就幹那裡斷章取義，就綠能你是記者拿這段話來問柯的，最愛斷章取義的黨說人斷章dpp斷章取義帶風向所以民進黨流行語是「被斷章取整段話看完了，賴清德的確這女的不怕下18層地獄高虹安不也是這樣取一句狂這個記者加這個議員,Non-offensive
Non-offensive,208,柯文哲去吃屎吧只是場面話柯都聽懂了,Non-offensive
Non-offensive,209,博士論文可以這麼呵呵,Non-offensive
Non-offensive,210,別被塔綠斑趕快關起來要查就所有立委議員一起查綠畜就是垃圾，看推文就知演到哪了一個月前不是就說藍白怎不站出來喊是歷史共十三姨了吧全台的議員立法委員請記得這些新聞要報多久？虹姐，我們做到了,Non-offensive
Non-offensive,211,加黨媒民進黨才是台灣最大危機民進党政策幾乎都在毀了寶8000只會嘴，老共軍演要不然中華民”國”跟中華台灣最大危險就是民進黨執馬英九真的是台灣最垃圾的中共同路人氣噗噗囉等民進黨在10/10宣佈結果民進党不敢正名台灣軍演龜的跟什麼一樣好了啦,Non-offensive
Non-offensive,212,毫無你祖先二戰跟日本同一國德國,Non-offensive
Non-offensive,213,真的至理名可憐,Non-offensive
Non-offensive,214,=騙障礙人士70這世界垃圾人真多高雄太暖了吧大家學著點,Non-offensive
Non-offensive,215,這是在幹嘛啦樓下被肛都喊什麼他真的慣用中指XD小牙籤戳啊戳又調皮了阿北調皮阿北率真>///<又要被說不禮貌了，用中指到底！！！！！口罩要脫脫戴戴就真的很擾可惜了,Non-offensive
Non-offensive,216,怎麼不早點想綠白仔選輸團抱取暖開酸反觀母豬開一堆部會養狗市長好像是李四川？工務跟都發如果換掉,Non-offensive
Non-offensive,217,在那叫什麼顏圾正確，推顏色對了行政超然中立四叉沒電這個就不要跟我說如果本質就是政府網軍,Non-offensive
Non-offensive,218,沒有好的，我就怕你不留，國民你留著才是對的,Non-offensive
Non-offensive,219,所以你現在知道這個政二代公園景觀第一排,Non-offensive
Non-offensive,220,XDDD不找黑道當顧問,Non-offensive
