,sentence,label
1144,管他去中國留島不留人的思想要不賣別人就好了啊,Offensive
4701,民進黨是在阿今年公投綁大選怎沒看你邏輯跟腦子快速破功，前兩就說,Non-offensive
3296,也很多誤解大陸要你改成一國兩制的樣有台灣價值的中國中國就中國，什麼大陸？你台灣藝人去結果被你們出征側翼請出征好嗎，都舔中舔大陸要你舔屁眼也只能舔了唯一的誤解就是：緑能你不那你對藍白有更大的誤解,Non-offensive
1775,出來面對,Offensive
1367,國民黨執政不是會把台灣賣可是民進黨做的爛到爆!!他未來有機會超越堅哥嗎~要不要統一一下說法只有DPP想搞戰爭,Non-offensive
817,拍拍手喔～柯屁就是噁心啦操又是一次台北人智力測驗蟑螂只會拿那種買榜的滿意台北根本停滯哪來發展？說停滯的有幾個台北人,Non-offensive
2741,阿北錢要被標案酬庸吃光囉柯每天730晨會,Non-offensive
522,光頭,Offensive
34,"他誰啦吃素就不要講出來啦丟臉看到側翼名字就是噓,我管八卦意外？八卦版真不意外早說，為什麼不早說只會嘴巴講~卻不以身作則甲甲騎士團你是不是想X人家哪是吃肉，是二手素，牛吃還好我手錶當鬧鐘我也是用這個音效當鬧鐘",Non-offensive
1368,親民黨主席側翼準備出征,Offensive
118,然後等別馬囧,Offensive
4621,同路人跪舔這件事，綠能你不能笑塔綠班不敢有人崩潰了綠狗有種不要辦糖衣毒藥真香EE還要看大陸宮廷古裝劇雙城論壇難道就有成效不該看到華安和華夫人兩邊推來還不趕快停,Offensive
1182,car?生技業吧民進党，跟國民黨可以手牽汽車趕快開放零關稅吧汽車啊,Non-offensive
4754,高自己是有多少人馬好了啦,Non-offensive
1964,沒弄好一搞配票的話，會變成選舉機配票應該是講給組織或宗親國民二黨都說不配票了，所怎麼配？你還要小心對手放這種投機仔還是乖乖去藍綠我是覺得一開始根本沒人預DPP很會配票的得票數沒陳思宇又PO文有切割他爸人家不明講配票,Non-offensive
2725,這咖死忠到不行,Offensive
4312,窮人覺得貴是正常的吧我朋友最近去捷克下榻一間這都是市場機制，要怪就怪不要罵央行總裁了！楊無碼你哪裡來勇氣跟歐美日比生政府光推卸找藉口的態度就反正有擋箭牌不怕民進黨經濟史上最好,Non-offensive
3875,問題是噁心民進黨要繼續用這種X就等都多少前例了,Non-offensive
365,打手當成這樣靠背,Offensive
3295,12億,Non-offensive
194,他憑什4插有料算售後服務嗎,Non-offensive
549,未民進黨內目前也沒人可以跟笑死，一人參選任時光匆匆流去,Offensive
3171,定點有專人收垃重點在管理，路邊回收場也鬼島就素質差才只能用垃圾不要比較好,Non-offensive
1132,不死忠票還真不少民進黨花了六年，超車國民不敢去台南桃園講都是講假選到這咖真的是台灣之恥，不爽不要投掃除黑金派系，EE下台？党超級噁心推推這篇邏輯讓他爆之前她也說要賺錢別來民進可是他滿意度挺高的呦,Non-offensive
968,幫QQ拜登講話軟雖軟,Offensive
734,DO,Non-offensive
4643,執行死刑民進黨現在真的越看越爛軟馬屌打EE總是死了人才哪會掉粉,Offensive
210,趕緊拿寫字加油好嗎綠共繼續敗票！送啦！小學生班費也在查,Non-offensive
2148,說謊鐘還是去吃@aaa1124078,Offensive
1170,不抓布萊恩你就是真的網軍挺共產行為就是噁文革批鬥也沒有在笑的想造成含蛋效應寒彈寒蟬叫上去念文章的用意是什麼交通局科長：呵呵啊不是有人說把官員當狗罵小心議員苗女士抓人唸貼文公開批鬥，綠衛兵跟紅衛兵因為負責笑的不是妳批完之不到台灣不曉得文革還在搞口罩戴著誰知道你有沒有笑簡七段說：如果議員對此沒來，,Non-offensive
710,"陳時中當選令人恐懼33就別幻想拿DPP票了黃珊珊贏個幾萬票黃珊珊這樣的政治家天公伯希望民調真的都是死忠的死柯文哲在選一次應該也不會不是這樣類比的,2018上次是因為丁",Non-offensive
1499,綠衛兵不是講假的蔡母豬的我是中國人一定會返鄉投票幹爆民進黨現在民進黨跟以前威權時代DPP控制媒體箝制思想真有比三樓不要臉的人嗎你以為威權時代過去很久了那些人沒死光,Non-offensive
4956,要是真小智也是五星市長欸都沒人那些被民進黨洗腦的人，有滿意度不是有沒有買榜而已看看精美的五星市長小智就你這廢物沒資格發言,Non-offensive
4603,黑公子~打一通電話給EE就能遷啦空洞1,Non-offensive
2330,講英文的最高級國民黨遺毒,Offensive
1088,搞暴動?闢啦,Non-offensive
3300,car高雄智障過一次，這次新竹看就知道反串的粉絲團從陳時中粉絲團,Non-offensive
172,我就對放任公務員上班上PTT，抓蔡EE上去喊她是中國人可是長得很好笑啊柯文哲居然底下養布萊恩,Non-offensive
4612,關出來就好明日土城入土為安哈～先逮捕再來說啦～要不正常仁要復仇了？Google,Non-offensive
3281,別讓人看笑話了還沒選上就這麼會吹,Non-offensive
4769,那是走狗的工作,Offensive
715,真的臺灣人自給不會投票真的不阿北坐八年經濟倉廉航,Non-offensive
3012,廢酒店落選咖貴黨不是沒臉皮，不然就是文傑哥的建言我也不敢執行雖然亮君最後一名,Non-offensive
3057,台灣不會好沒關係只能補習。可撥幫綠營推廣思想，哪有以偏對,Non-offensive
4387,dpp下地笑死,Offensive
4550,台灣就是下一票投國民黨，台灣變香港思欸,Non-offensive
368,什麼爛,Offensive
2883,divinespir很抱歉，你跟民進黨我都不他只代表8+9吧有腦子的太好笑了,Non-offensive
3420,致中還在圈內欸書怎麼會是他寫的呢,Non-offensive
353,蔣應該不需要腳踏車看來總統大位穩了你滿了我就漫出來了贊,Non-offensive
2862,我家高雄長輩們沒有是不是抹,Non-offensive
163,其中一個是垃雙標党日常只要能吵贏,Offensive
3358,it,Non-offensive
461,藍綠可以大團結餓太久了反正你都待退了,Offensive
1515,和喬柯的聖戰才剛開蟑螂崩潰林耕仁那票數看起來就是被Wecare,Non-offensive
4971,錢坑,Offensive
1453,上次我就說真的要這政黑仔啊,Offensive
421,wwwwww完全不意外,Non-offensive
4610,不想看到髒東西不管怎樣，民進黨還是一直跟ECFA一樣啊，邊罵邊你自己才見鬼了,Non-offensive
4336,說他要VIP真的很噁心的新聞對話截圖？現在連照片影片是不是臭甲都不怕生兒子沒都不用拿證據就可以抹屎？看起來輸太少zzzz鬼扯民進黨輸不夠,Non-offensive
791,戰機過中線,Non-offensive
3958,下去了啦柯CF不告4X了耶，好沒可悲,Non-offensive
425,有錢的話員工不會是政黑仔吧XD,Offensive
151,民進黨放你也是認為小看討厭民進黨？半斤八兩自介笑死嘔嘔嘔嘔嘔房蟲一個，你來台北，只會票選全台最噁心的人的話我DPP史上最爛人選還敢笑自介不害羞看DPP推馬桶中，就知道幹話真多張口就是滿嘴謊言也不簡單擋疫苗仔就是人選爛啦,Offensive
2337,wow,Non-offensive
299,至始至終,Non-offensive
1602,一起唸這被搜出來會出人命苗苗請一視同仁唷)幹嘛找巧芯,Non-offensive
3675,先報拿茶包促進兩岸交流,Offensive
1984,你少廢話543民進黨怎麼每次愛故意打迷請問這麼特別的豬肉台灣哪EE園區,Non-offensive
3243,最小值大於說真的，故宮的碗我還真的反正也做不了多久了重點是根本就不便宜好嗎X不必去查推，邏輯正確。他們就是一直在做最後一句這麼嗆,Non-offensive
2416,不殺幾個解放低能塔綠斑不是叫假的八卦還用抹？,Non-offensive
767,滅門但又是不認錯,Offensive
955,辦這個球場哪是弊案,Offensive
2801,當初不是喊趕快告民進黨政府真的太噁心了剛好送修？送修個鬼，誰會為何要等下週一啊?送修不偵查全公開,Non-offensive
4941,)支持男大生關係學習進度,Offensive
1817,軍法審判不就,Non-offensive
3056,朋友間有死忠用法,Non-offensive
3152,時空背綠共黨的迴力鏢黨媒不會報垃圾側翼笑死，有請打踢高手垃圾踢打T高手把高中學歷印在名片上XD到底是哪種人會支持苗？智文組的比較屌嗎苗應該要跟高一樣鞠躬道歉一個考不上律師的台大廢物同性戀被看不起就是一堆這都是人設啦，最高學歷就大Ubike會借了嗎女拳自助餐＋綠能你不能＝女同日常打T高手何在！？阿苗雙標例子罄竹難書同性戀都這樣一個被告了換一個噁出來,Offensive
3139,=,Non-offensive
1677,唯一投33還是有很多藍死忠啦,Offensive
2758,垃圾黨發言人又換了喔，不下架垃圾民進党啦兩車一起闖紅燈，你被警察問題是：正在救災的就是K笑死，以前呢我永遠不會忘記DPP多會最喜歡檢討監督在野黨的執嗯？..自己在野時什麼德幹,Non-offensive
2948,XDD影片拿出來看啊！白癡認同台北是疫情的開始。就幹那裡斷章取義，就綠能你是記者拿這段話來問柯的，最愛斷章取義的黨說人斷章dpp斷章取義帶風向所以民進黨流行語是「被斷章取整段話看完了，賴清德的確這女的不怕下18層地獄高虹安不也是這樣取一句狂這個記者加這個議員,Non-offensive
3583,但是司法你以綠能你不能啦要就全國一起玩台南感覺更哇，把新竹選民當白癡耍是第一天認識民進黨？還沒就職,Non-offensive
1905,建議收最後一句話也太寫實敦義你不要這麼專業好不好給鵬鵬一根鋼彈造型的路燈民進黨的一個個在比不要臉綠出於紅,Non-offensive
4541,......說高一定穩上,Non-offensive
2404,感同身受政治人物越來越蠢,Offensive
1764,大家相信你沒有啊,Non-offensive
773,塔綠班哪會鼓掌通過好喔,Offensive
4428,就做得爛當然下台啊,Offensive
821,我本來都很我是疫情指揮中心指揮官類xx,Non-offensive
4830,活該被假的，高端醫生，害人多於笑死，太假了正常上班上課,Non-offensive
4340,政要拖延新竹的市政建設,Offensive
1332,兩害相權取中華民國就中國帶來的史觀但是韓國演藝圈還蠻多日本反觀台灣皇奴反觀.......日本衰中國人仇日恨美啊台灣喔,Non-offensive
1111,33加油你是不是以為多講幾句話放年輕人出來投票,Non-offensive
4383,又要推責任完全執政,Non-offensive
3638,真神政局不穩是有人要兵變還是騙神的,Non-offensive
1272,靠嘴6億徵300萬名黑熊勇士老先生看錯了抗中,Non-offensive
76,我說病毒直接火化吧病毒的祝福議座要小心身體啊，特別還會打1922嗎？病毒加油好嗎鬆懈的政客好耶,Non-offensive
282,甚至連任時還3,Non-offensive
1003,民進黨又不敢獨,Non-offensive
1481,竟然不是欠錢,Non-offensive
2930,假期有沒有要去哪裡不要再汙名化柬埔寨了就女版韓國瑜,Non-offensive
3779,I,Non-offensive
3843,北七繼續這樣下去：）只會嗆人去中國？繼續加油不投給背叛中華民國的黨就繼續敗票,Non-offensive
2575,女兒的標意外嗎？這隻和喬王一樣不真的不要臉母豬就愛有人拉仇恨值真的不要臉到極點不用檢討ㄌ就不要下台，在野黨繼續收要繼續貪污？真的是很厚....連神明都敢呼攏了，這小意誰在慰留？名單給出來。滾下來就好,Non-offensive
3564,證據拿出來看=__=,Non-offensive
1865,鐘佳播光頭跟小英立新潮流分兩派了，賴+鍾v賴在屏東沒票，小米姐姐還誰能整理一下DPP大咖們說個笑話，民進黨談公理正全力支持鍾佳撥=浪漫du人民法鎚第十代耶構造改革不急不急,Non-offensive
2234,阿中必上33,Non-offensive
4458,你們輸了建銘國民民進黨不倒，台灣少裝可憐，已經學乖了，不民進黨早該下去了，202看他臉聽他講話我真的吐出輸的是整個世代價值,Non-offensive
2847,以前的戰爭,Offensive
2370,我絕對我再當,Non-offensive
2118,日德國有V2彈道飛彈,Non-offensive
3449,這麼大聲小心被處賴的逼宮門第二季開演大堅哥臭起來，讚啦我就想賴,Offensive
3117,全家出門被車輾過干你屁事嗎？快下台啦臉皮有夠厚，特支費用上癮?國外關你什麼事??真辛苦又憂國憂民,Non-offensive
1230,這看看吧,Non-offensive
1339,嘻嘻幹你媽,Offensive
3986,哪來的黨的決策委員怪黨決策不行直接投靠民進党好了時代力量還剩誰？沒人啦，怎麼玩下去王婉諭真的很不錯,Non-offensive
4399,拜託民進黨全國大掃黑，只民進黨為什麼要跟這個人扯自己是小偷為別人也是小偷到底誰執政阿抱歉我覺得被騷擾了現在不掃？還是都吱己人？噁心阿姨,Non-offensive
2760,所以我說沒辦法開工啊又要再改一次路線了~基捷改到跟台鐵七堵站共構你卡在過去回不來了嗎投完就回家吃滷味看開票了昨天下雨好嗎，天氣又冷，時空旅人你那邊還來得及,Non-offensive
4636,恭喜台北市民母豬出口就是選舉,Offensive
2807,別拖我當墊背,Non-offensive
551,還好而已被罷免大談跳樑小丑一個…沒關係DP民進黨法院到底宣判幾個判太監墊墊支持王浩宇就是支持民進黨肛交的證據檢調喔？看過證據？還沒閉嘴啊???你誰～～《檢調有人自首你抓不抓你不是也看過論文太監閉嘴下面沒有了塔綠班,Non-offensive
1891,你那個王牌放水流,Offensive
102,人,Non-offensive
633,那濃菜雞互啄?,Non-offensive
2649,惡有惡報,Offensive
2195,不關小英的事蔡英文沒有被架空，他就是蔡英文會被架空喔笑死開始為下台鋪路呦？沒用啦,Non-offensive
411,英九雖然想化獨漸統,Non-offensive
2679,只會讓中國聖不是昨天就結束了嗎？上班韭菜打不贏鐮刀的只能用撐只有傻蛋幫的傻蛋腦遍地開學校而已。還沒全市大暴走三峽大壩潰堤可能比較快一樓摸奶的去跟社會道歉祝抗議者好運，別變紙片人以後看不到白紙了習包子要打江山了64的經驗就是輾過去保共沒有,Non-offensive
2848,賄選就該抓賄選下去啦以後要參選的人笑死，合法賄選，N倍券不我只討厭柯賤民垃圾民進黨去死吧拒投綠垃圾好喔,Non-offensive
2239,又穩了哎由,Non-offensive
4361,"是多怕有沒有機會衝擊台北史上第比較神奇的是靠姓氏還可以黃是草包？你乾脆直接說自那次還4有點爭議,開票投推文綠糞崩潰黃真的被柯害死要不是有棄保,柯早就沒機你這樣講TMD4%會崩潰柯會贏還是邊開邊投的在那邊說柯靠棄保，那民進現在是真的除了兩顆子彈的被拉進去當個兩年多看板就這篇正解，台北在蔣宣佈參身邊死忠仔這次都說懶得出以前港湖議員有個高嘉瑜",Non-offensive
363,你們黨也民進黨倒一倒拉抗議對防疫有用？抗中保臺又在說幹話只會拉中國下水,Non-offensive
2250,時力在版上有很多死綠共獨裁下的犧牲品小綠路線很清楚不如跟民眾黨合併唯一支持黃國昌除了黃,Offensive
3048,逼宮,Offensive
2651,讚民進黨不不愧是東堂的東堂勇,Non-offensive
2730,XDDDDD真的是白癡耶現在他媽是要戒嚴了嗎就一堆草包啊,Non-offensive
577,乞丐？民進黨執政六年，嘴巴上抗抓了一個？背後還有千千萬還想抗中保台啊，垃圾民進最後還不是緩刑易科罰金我就問抗中保台，抗到哪了邵維強，某媒體集團終身俸呢？黃埔的無恥日常執政黨若要要展示抗中保台都是黃埔,Non-offensive
4275,都是假民塔綠班認證的中共同路人,Offensive
1227,這名字好要被關了是不是五樓都看中天吧allyours,Non-offensive
701,劇他地方行程比學姊多吧,Non-offensive
2123,陽光先生不錯陳竹昇,Non-offensive
152,馬哪裡不好了我是看開了，反正沒有下一33在師傅旁邊跟了這麼久阿扁是靠分裂上的，台北人只會投一種顏色的人真可悲33就是個騎牆派新一代就是靠時間影響身邊蔣萬安真的有馬英九第二的台北老人看臉選女婿,Non-offensive
4891,XD呃，黨國教育數十年，洗腦選舉有政黨輪替才是正常,Non-offensive
1777,準備投胎就說大氣層不是領空了，我大氣層不算國土隻手遮天，沒看到，在哪裡裝沒看到閉上眼睛還不懂？？先發新聞罵國民黨啊以前還有徵文比賽,Non-offensive
4589,桃園機場讚,Non-offensive
4358,美花吉推史上最強院長,Non-offensive
739,是要三接那個不是反三接吧,Non-offensive
526,不能這樣說辣蔡蘇繼續共治才有票可以敗叭叭？開罰三千，我大英皇且她辭黨主席,Non-offensive
4879,蔡英文真的再放大絕了果然馬上變成中共同路人綠叩教：神功護體，刀槍不確實,Non-offensive
4617,不簡單讓世界看見只會選舉的讀稿全部都下去吧世你媽啦，北七北連中胡台中腦殘死忠的人不夠多，社會安全網？一個縣市長選舉也要綁架全為了TW，絕對下架塔綠班世界看到磨豆腐,Non-offensive
2640,你有聽提出解決方式吧,Non-offensive
1297,你484想轉移垃圾党自家黑道焦點這沒什麼好不過的現在社會黑道：好喔，就讓老婆小孩那國民黨在增加不會.現在洗錢很嚴喔,Non-offensive
3063,the,Non-offensive
422,拚40萬票最高行政職,Offensive
2664,律師支持造謠？改叫民主退步黨好了,Non-offensive
1988,去找李登輝吧..怎不敢直接過去收下請願書你要自立自強啊！陳情有用沒讀稿機要怎麼回應阿伯？跪求放過台灣蒼生你們要自立自強啊以民為先等等是超過28年才提告？怎麼沒子彈？時隔28年…完全看都不看就走人欸又是個以民為先,Non-offensive
3722,台積電賣沒有國民黨現在治權是共產民進党那些爭民主的還都已共產黨的招數對國民黨最有現在國民黨哪個不是拿槍的林九萬,Non-offensive
1947,結果籃綠33加油一開口就在鬼扯，誰跟妳說還有30未完工代表至少還70%、30%的根據是怎懂？嗯？真懂？證據當然是DPP提供啊,Non-offensive
2708,沒有,Non-offensive
4597,笑死汽車,Offensive
4787,洪妻公就造謠,Offensive
2094,反串失辭之前先任命副市長給阿北蔡適應確定論文抄寫，怎麼他都還沒宣誓就職,Non-offensive
4723,絕對在臭,Offensive
697,蔣太子必勝==只要不是時鐘上就是台北人只能安慰自己至少不是時鐘三個候選人中能力最弱的，撿到市長就好好做啊下架民進黨就是爽有料33>無聊公子>黑料蔣的問題在，他背後的那些魚翁得利蔣公子沒做過什麼政績和基馬英九2.0已上線他這次本來就躺著上，民主毀了,Non-offensive
2680,是要審核的,Non-offensive
3226,我去一樓很可愛都拿去蓋棒球場了？不虧是小智，早就知道換人土城有沒有機會跨年,Non-offensive
2077,這我說真的看到日再過幾次選舉，又開始內鬥提線傀儡罷了,Non-offensive
1104,哈哈有什麼問題，人家培育的都柯是想把明通釣出來玩吧,Non-offensive
1336,高高光頭沒滾，還是沒救滾,Offensive
308,連這咖都講出真話,Non-offensive
735,202還沒選完？未看先猜鏡週刊黨都不打了,Non-offensive
4762,50我倒是很肯定這個做法，既還不如去新竹當副市長真的當初選33就好,Non-offensive
482,凸(ﾟдﾟ)凸反正8*寧可相信當初真的是有理想多貪污點錢動員網軍去衝人只會選舉的綠色母狗真討厭不要幫2016的智障洗白看綠圾死忠仔的推文就知道只會選舉,Non-offensive
313,捐獎學金也是賄選X新竹到底什麼爛地方獎學金應該還好，只是拜票捐獎學金給不知道是誰（賄哇獎學金真的是微妙民進黨真是優質,Non-offensive
4093,ﾟдﾟ)凸你它馬不一中!?這種標題很適合嗜黨說,Non-offensive
2853,所以台北人就是比較聰明可台灣本來就藍綠永久統治推別說817817的,Non-offensive
2813,低端記者昨天就有人貼過一模一樣的關了再說，曾經新聞報的好60萬>12億記者在檢調現場？新聞當作文在寫？還在偵察不公開,Non-offensive
4009,超級星星病毒加油，加油病毒加油病毒請祝福全開怎麼不得猴痘,Non-offensive
3858,在那叫什麼笑死，直接跟民意對嗆耶，騙神光頭心虛了啦賤民們，人家有817萬人像流氓個性太帥啦,Non-offensive
3097,秒素五公分會用俄語叫Aynu吧？日本能被瓜分，那表示中華不太可能，美國意識到了要然後織田信長就轉生了偷臭台灣,Non-offensive
230,別哭還在偷換概念,Offensive
1524,Hay，sleeping胡錦濤還好嗎我快篩陽性你的名字是？習明澤送到美國和親，當拜我來是做什麼的,Non-offensive
3955,maker,Non-offensive
3255,意外嗎別忘了這咖最近才在議會羞年底下架雙標仔側翼該每人寫一篇長廢文出看不起社會大學哦,Non-offensive
754,都下市長了想幹嘛就幹嘛啊畢業旅行怎麼了嗎也太寒酸了，,Non-offensive
19,噁爆焦慮台北市長選輸，總統可你也會焦慮?塔綠班真急側翼綠蟑興奮表示：煙毒蟑螂很適合出來洗地板媒體和顏色能把做事的人抹哈哈,Non-offensive
3147,"鼻子戳到爛Netflix日漫都不能插鼻子的次數變頻繁會啊，你未來沒有機會表達看看新疆西藏的大屠殺會先被殺10%你做的事情一堆會被碼習包子,大傻逼你的財產是政府的八卦跟政黑先封板課綱：聽當然是教育營阿",Non-offensive
2858,lo這言論又在蹭台灣價值我只看到民進党才威權，太綠色恐怖你爸媽沒生你,Non-offensive
4074,票投王世堅連炮灰都算不上的隱形人,Offensive
4256,XD那個渣男我們不要理他吃到誠實棒棒糖喔？至少比騙神仔好多了,Non-offensive
4750,然後自己再腦補,Non-offensive
1229,還俄國在東邊也要開戰線？,Non-offensive
3556,側翼連只有民進黨說她男友出國阿奶茶我比較喜歡立頓的抹黑抹到飲料都錯真。肥宅可樂和奶茶都是我咖啡包感到寂寞笑死啊4X笑死,Non-offensive
4866,我喜歡哈哈哈哈哈哈哈哈哈菜包漱口杯沒本事只會馬維還有比綠電爛？垃圾民進黨幹,Non-offensive
4619,笑死當初賴初選被打趴，高可是餅叔加油這招是在修補民進黨跟甲魚基進就缺有知名度的候選人整個黨的功能就是搞暗巷捅準備幫高衝第一高票了,Non-offensive
1543,放綠共抹黑一條龍,Offensive
2224,笑死,Offensive
1429,小綠滅亡吧只有時力在追弊案,Offensive
3083,比連戰夜搜索不是就要找證據，傻傻2024一定送綠共下去羅檢調才不會被民進黨指揮勒要抓就抓,Non-offensive
87,你連說投降的機會都沒有別懷疑你會比你想的更慘會被叫去被美國打國共內戰不是示範過了：投想想冰雕連不會再投降一次嗎你看看烏東第一批投降的都日本帝國的關東軍有很大比很難說喔，台灣也是有當內中華民國就是台獨,Non-offensive
2910,舞不跳聽說宗教有影響到？可能要香港一般人生活根本沒變經消費卷領了兩三次,Non-offensive
708,九萬跟一許信良臥底的吧www林九萬躲在幕後仇恨值就夠加薪了！九萬變十萬！,Non-offensive
235,那kmt的尿性感KMT如果這麼會想,Non-offensive
4379,我們越挺,Non-offensive
1809,一開口又是經典你有通過初選嗎?!?!是不是又偷臭媓?鐘擺效應很容易上的,Non-offensive
1920,還早開心合併啊！還用想？樓下你今晚被輪肛ㄉ機率是如果真會怎樣,Non-offensive
112,每次都正面上D反正皇帝2年後必定駕崩，EE不愛,Non-offensive
23,繼續檢討死忠的看不懂啦哈哈哈哈哈哈哈哈哈哈哈原po保重,Non-offensive
3177,還是造謠永動機=民進黨側翼垃圾洪姊跟她的垃圾老公民進黨安插了一堆落選縣市選出這種咖，可憐吶民進黨都把台積電趕跑了還要怎麼告?,Non-offensive
267,活就不用了噓屁啦,Offensive
4349,結案,Non-offensive
2670,吳怡農黃承國是DPP不能說的那下架民進黨，終結台灣黑道民進黨也可以主動打黑啊,Non-offensive
327,被馬狗洗臉當然是助選啊馬囧跟台灣政治脫節了！現薛部長大聲點說出掮客是誰原本以為阿中已經很誇張了舔黨才能升官，難道要花1側翼標準教學沒證據小故事這局阿九得分！不過阿九沒馬英九說的對啊ok,Non-offensive
1157,綠色產業鍊老柯說個笑話,Offensive
1463,但我就是編故事周刊咩要繼續,Non-offensive
3258,我是先討全党上下都是死不認錯的爛仇恨值最高的b嘴幹他媽的死妖婆再一個禮拜，選完可以不用1126下架草包中好的，下架陳時鐘送牠當市民啦不要再寄生中華民國了,Non-offensive
2907,軟性封城一堆噁心的，但校正回歸沒校正回歸比肩非洲，醫療量能不足，自主應變滾筒式調整滾筒式我負責超前部署幾百例而已要校正回歸,Non-offensive
8,爛綠被嘴爆惹可憐哪笑死,Offensive
2406,都是重視言論自會告人民的政府判得沒錯啊？狗報不爽什麼罵人要有藝術民主燈塔，唉仇恨言論一直都可以管啊馬英九之前都沒這樣告人有政府會告人懷念馬英九時代，現在都不挖靠姓名還要公布喔我靠近電話囉關86年關到漏尿監獄裡爽爽過啊在監獄更爽,Non-offensive
1304,你確定？網軍準備不如找陳菊來接吧內政部長網軍準備能救民進黨的只剩林世堅吧還想再試試網軍的威力嗎親中分子,Non-offensive
4512,pass~佩服佩服綠色就是圖利自己人的顏色綠能你不能一直都是綠能你不能，雙標財庫通黨庫跟黨庫通財庫，錄取了，明天來上班綠色,Non-offensive
1458,為什麼一個台灣人會接到厚那是因為你在詐騙之島受過想請問一下,Non-offensive
1464,選這什麼東西出來,Offensive
59,讚覺得是在救房市全部開放了,Non-offensive
4278,是超買不是工三小......菜EE：反帝制，反貪腐，這跟新北市民有關係嗎？所以內向不行嗎,Non-offensive
2522,土城看守所新竹人很聰明，選上沒立委鬱悶就喝酒,Non-offensive
4024,政府幫你虧了也不是三千多億叫不是那麼多？？翻譯虧得還不夠多因為不是賠你的錢啊,Non-offensive
3315,但笑DPP不敢兩碼子事硬要扯抖音一響父你禁他,Non-offensive
387,天罰RIP,Non-offensive
3080,n年沒看肥宅我烤肉只準備肉和吐司你懂個屁吐司夾香腸才好吃,Offensive
4574,去你的高端法說會支持讀稿機,Offensive
70,什麼都能抗中保台！不要問這麼細龍生龍,Non-offensive
38,又不是韓導都有綠的要把她當韓國瑜來垃圾老人快去死一波，謝謝剛選上就開始打預防針了,Non-offensive
3581,有意主動說自己是公務員的那個苗是說公開討論喔,Non-offensive
2652,202噁心,Offensive
